"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species"
"Fungi";"Ascomycota";"Leotiomycetes";".";".";".";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Dothideales";".";".";"."
"Fungi";"Basidiomycota";"Agaricomycetes";"Agaricales";"Lyophyllaceae";"Lyophyllum";"."
"Fungi";"Ascomycota";"Saccharomycetes";"Saccharomycetales";".";".";"."
"Fungi";"Basidiomycota";"Agaricomycetes";"Agaricales";"Lyophyllaceae";"Lyophyllum";"caerulescens"
"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";".";".";"."
"Fungi";"Basidiomycota";"Agaricomycetes";"Agaricales";"Tricholomataceae";"Tricholoma";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Pleosporaceae";".";"."
"Fungi";"Basidiomycota";"Tremellomycetes";"Filobasidiales";".";".";"."
"Fungi";"Basidiomycota";"Tremellomycetes";"Filobasidiales";"Piskurozymaceae";"Solicoccozyma";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Capnodiales";"Cladosporiaceae";".";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Pleosporaceae";".";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Didymellaceae";".";"."
"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"."
"Fungi";"Basidiomycota";"Agaricomycetes";"Thelephorales";"Thelephoraceae";"Tomentella";"."
"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Nectriaceae";"Neonectria";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Phaeosphaeriaceae";"Chaetosphaeronema";"."
"Fungi";"Basidiomycota";"Agaricomycetes";"Thelephorales";"Thelephoraceae";".";"."
"Fungi";"Basidiomycota";"Agaricomycetes";"Agaricales";"Inocybaceae";"Mallocybe";"."
"Fungi";"Basidiomycota";"Tremellomycetes";"Filobasidiales";"Filobasidiaceae";"Naganishia";"."
"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";"Mortierella";"."
"Fungi";"Ascomycota";"Sordariomycetes";"Amphisphaeriales";"Amphisphaeriaceae";".";"."
"Fungi";"Ascomycota";"Pezizomycetes";"Pezizales";"Tuberaceae";"Reddellomyces";"donkii"
"Fungi";"Ascomycota";"Sordariomycetes";"Sordariales";"Chaetomiaceae";".";"."
"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Sclerotiniaceae";"Stromatinia";"."
"Fungi";"Basidiomycota";"Tremellomycetes";"Filobasidiales";"Filobasidiaceae";"Naganishia";"bhutanensis"
"Fungi";"Ascomycota";"Dothideomycetes";"Capnodiales";"Capnodiaceae";"Capnodium";"."
"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Rutstroemiaceae";"Rutstroemia";"."
"Fungi";"Basidiomycota";"Tremellomycetes";"Holtermanniales";".";".";"."
"Fungi";"Ascomycota";"Sordariomycetes";"Hypocreales";"Cordycipitaceae";"Beauveria";"."
"Fungi";"Mortierellomycota";"Mortierellomycetes";"Mortierellales";"Mortierellaceae";".";"."
"Fungi";"Ascomycota";"Dothideomycetes";"Pleosporales";"Sporormiaceae";".";"."
"Fungi";"Ascomycota";"Leotiomycetes";"Thelebolales";"Pseudeurotiaceae";"Geomyces";"."
