"Row.names";"Transect";"Site";"Plant";"Lat_decimal";"Long_decimal";"Altitude_masl";"Clay";"Silt";"Sand";"Herbivory";"Veg_cover";"Gram_cover";"Shrub_cover";"H_comosum_cover";"PrecWorldClim";"PETWorldClim";"AIWorldClim";"MeanTempWorldClim";"TmaxWorldClim";"TminWorldClim";"Endophyte";"Sampling_year_biomass_mg";"Spikes";"X.N";"X.C";"d18OCellulose";"d13Ccellu";"d13CcelluAlt";"X.P";"pH";"ec_dS_cm";"PWA.X";"RhizoX.N";"RhizoX.C";"AMF";"iWUEmes";"d18O_rain";"Big_d18O";"d18O_rain_Ap_Sep";"Big_d18O_Ap_Sep";"d18O_rain_Ap_Sep2013";"Big_d18O_Ap_Sep2013";"RH_Average";"Sample";"OTU_Soil_sample_mgr";"seq_depth_from_Otu_table";"R1_seq_depth";"R2_seq_depth";"sum_Otu";"n_seq";"Richness";"Chao1";"ACE";"Shannon";"InvSimpson";"pielou"
"CC001";1;1;1;-42.94305556;-71.18805556;775;16.57;8.74;74.69;"Moderate";65;45;20;5;471;980.76;0.480239814;8.275;14.40833333;2.175;0;718;1;1.11;40.85;29.94;-27.62;-27.8631;0.25;6.08;0.12;7.814;0.13;1.53;61.67978425;44.36551754;-9.545988;39.86655364;-10.282383;40.64026174;-11.11047;41.51168432;59.96384;"CC001";216;15064772;17170604;17174194;44818;7959;648;755.811594202899;802.109787354299;5.19511964659058;72.2643275080626;0.802472560977555
"CC002";1;1;2;-42.94305556;-71.18805556;775;16.57;8.74;74.69;"Moderate";65;45;20;5;471;980.76;0.480239814;8.275;14.40833333;2.175;1;460;1;0.98;41.27;30.23;-26.61;-26.8531;0.23;5.81;0.11;8.252;0.16;1.97;56.02573366;50.04073348;-9.545988;40.15934866;-10.282383;40.93327461;-11.11047;41.80494256;59.96384;"CC002";207;19202459;19878179;19884012;56782;7972;569;697.333333333333;705.569546018089;5.09131435355921;78.8830794207964;0.802555219384487
"CC003";1;1;3;-42.94305556;-71.18805556;775;16.57;8.74;74.69;"Moderate";65;45;20;5;471;980.76;0.480239814;8.275;14.40833333;2.175;1;878;7;0.83;43.43;29.27;-26.36;-26.6031;0.2;5.95;0.12;8.11;0.16;1.83;61.67978425;51.44367154;-9.545988;39.19009619;-10.282383;39.96330097;-11.11047;40.83415667;59.96384;"CC003";227;11487840;12614762;12619167;34368;7958;652;825.072289156627;799.682241014003;5.53622566916364;145.810917094914;0.854349937914255
"CC004";1;1;4;-42.94305556;-71.18805556;775;16.57;8.74;74.69;"Moderate";65;45;20;5;471;980.76;0.480239814;8.275;14.40833333;2.175;1;870;2;1.09;40.04;30.07;-27.67;-27.9131;0.22;5.84;0;8.141;0.16;1.86;58.34978425;44.0842599;-9.545988;39.99780658;-10.282383;40.77161233;-11.11047;41.64314491;59.96384;"CC004";209;15872720;17332563;17337640;48667;7955;624;849.140186915888;881.228704750075;4.44638618338492;14.0350045499195;0.690845603178689
"CC005";1;1;5;-42.94305556;-71.18805556;775;16.57;8.74;74.69;"Moderate";65;45;20;5;471;980.76;0.480239814;8.275;14.40833333;2.175;1;285;2;0.8;42.66;28.34;-26.97;-27.2131;0.2;5.99;0.11;7.814;0.13;1.53;44.02573366;48.01923587;-9.545988;38.25113286;-10.282383;39.023639;-11.11047;39.89370784;59.96384;"CC005";202;8579984;9375952;9377426;25210;7963;615;687.655462184874;711.786601118994;5.22539707321612;70.407837655077;0.813719159317821
"CC006";1;1;6;-42.94305556;-71.18805556;775;16.57;8.74;74.69;"Moderate";65;45;20;5;471;980.76;0.480239814;8.275;14.40833333;2.175;1;488;2;1.03;39.62;29.36;-27.48;-27.7231;0.26;5.67;0;7.613;0.12;1.32;92.17573366;45.15288505;-9.545988;39.28096361;-10.282383;40.054236;-11.11047;40.92516785;59.96384;"CC006";214;10282300;10635642;10637983;30970;7978;636;767.102803738318;782.077625187465;5.30849332061111;100.760006585571;0.822359415984306
"CC007";1;1;7;-42.94305556;-71.18805556;775;16.57;8.74;74.69;"Moderate";65;45;20;5;471;980.76;0.480239814;8.275;14.40833333;2.175;0;910;9;0.82;44.93;28.74;-26.31;-26.5531;0.2;5.81;0.11;7.747;0.13;1.46;88.68573366;51.72417268;-9.545988;38.65498805;-10.282383;39.42779469;-11.11047;40.29820196;59.96384;"CC007";210;11820948;12388395;12391237;34662;7976;525;610.597826086957;626.100311431505;4.91860300804663;55.6308751359803;0.785293031328244
"CC008";1;1;8;-42.94305556;-71.18805556;775;16.57;8.74;74.69;"Moderate";65;45;20;5;471;980.76;0.480239814;8.275;14.40833333;2.175;1;670;4;1.19;41.88;28.49;-27.08;-27.3231;0.21;5.83;0;7.557;0.11;1.26;63.01978425;47.40125758;-9.545988;38.40257855;-10.282383;39.17519738;-11.11047;40.04539314;59.96384;"CC008";236;9704770;10818813;10820913;29065;7980;617;719.622641509434;732.134551231103;5.26096698770236;89.158016470608;0.818844239178662
"CC009";1;2;1;-42.79722222;-70.84861111;803;11.11;2.74;86.14;"Intense";40;10;30;2;334;984.48;0.339265399;8.1;14.49166667;1.775;1;680;19;1.05;46.58;31.77;-24.06;-24.3339;0.18;7.14;0;5.095;0.08;0.9;43.57084078;64.16720835;-9.545988;41.71419117;-10.282383;42.48927399;-11.11047;43.36224492;56.84634;"CC009";205;14826660;16626145;16628918;44949;7958;584;748.881188118812;768.378040324785;4.92249024174551;55.948283203791;0.772773431646017
"CC010";1;2;2;-42.79722222;-70.84861111;803;11.11;2.74;86.14;"Intense";40;10;30;2;334;984.48;0.339265399;8.1;14.49166667;1.775;1;361;7;0.46;47.06;32.45;-25.58;-25.8539;0.13;7.19;0;4.816;0.05;0.53;38.68573366;55.66591259;-9.545988;42.400745;-10.282383;43.17633865;-11.11047;44.04988492;56.84634;"CC010";202;14729561;15280221;15283121;43172;7963;389;435.616438356164;451.991141871257;4.12836886228379;17.8937659598545;0.692263592787025
"CC011";1;2;3;-42.79722222;-70.84861111;803;11.11;2.74;86.14;"Intense";40;10;30;2;334;984.48;0.339265399;8.1;14.49166667;1.775;1;412;2;0.79;45.7;32.62;-25.83;-26.1039;0.16;7.49;0;4.859;0.05;0.59;53.57084078;54.26513194;-9.545988;42.57238346;-10.282383;43.34810482;-11.11047;44.22179493;56.84634;"CC011";228;8827745;9617280;9619339;27207;7963;488;575;584.090527325128;4.8273909091287;48.2961878307019;0.779829555140962
"CC012";1;2;4;-42.79722222;-70.84861111;803;11.11;2.74;86.14;"Intense";40;10;30;2;334;984.48;0.339265399;8.1;14.49166667;1.775;1;220;5;1.1;46.36;32.35;-24.53;-24.8039;0.19;7.18;0;4.911;0.06;0.66;74.02573366;61.54134854;-9.545988;42.2997812;-10.282383;43.07529973;-11.11047;43.9487614;56.84634;"CC012";228;15484280;16367664;16371023;46623;7960;488;595.220779220779;597.302739032469;4.8385568505776;56.3972200860178;0.781633330993536
"CC013";1;2;5;-42.79722222;-70.84861111;803;11.11;2.74;86.14;"Intense";40;10;30;2;334;984.48;0.339265399;8.1;14.49166667;1.775;1;148;4;0.77;45.78;31.688;-25.47;-25.7439;0.17;7.34;0;5.182;0.08;1.01;24.68573366;56.28202833;-9.545988;41.63140085;-10.282383;42.40642207;-11.11047;43.27932363;56.84634;"CC013";218;10511757;11607238;11611368;31429;7948;434;522.873417721519;536.887131870424;4.33554472063642;32.1916823368139;0.713899708176377
"CC014";1;2;6;-42.79722222;-70.84861111;803;11.11;2.74;86.14;"Intense";40;10;30;2;334;984.48;0.339265399;8.1;14.49166667;1.775;1;360;7;0.48;46.77;33.25;-25.84;-26.1139;0.11;7.24;0;4.78;0.05;0.48;23.86084078;54.20908575;-9.545988;43.2084554;-10.282383;43.98465002;-11.11047;44.85887316;56.84634;"CC014";230;10303608;10417466;10421864;30554;7911;409;457.358208955224;465.044516106927;4.47305550576936;37.3783300494464;0.743809008192659
"CC015";1;2;7;-42.79722222;-70.84861111;803;11.11;2.74;86.14;"Intense";40;10;30;2;334;984.48;0.339265399;8.1;14.49166667;1.775;1;440;10;1.12;46.57;34.05;-25.49;-25.7639;0.18;6.13;0;5.215;0.08;1.05;32.49136365;56.17001763;-9.545988;44.01616579;-10.282383;44.79296138;-11.11047;45.6678614;56.84634;"CC015";220;14822384;16067268;16074842;44770;7934;513;625.144329896907;656.618510759007;4.70323763192188;46.7662857907015;0.753690661857782
"CC016";1;2;8;-42.79722222;-70.84861111;803;11.11;2.74;86.14;"Intense";40;10;30;2;334;984.48;0.339265399;8.1;14.49166667;1.775;1;442;8;0.89;46.8;31.97;-25.78;-26.0539;0.21;7.4;0;5.206;0.09;1.04;53.35573366;54.5453456;-9.545988;41.91611877;-10.282383;42.69135183;-11.11047;43.56449198;56.84634;"CC016";236;7307406;7864785;7869000;20921;7960;457;493.32183908046;507.313406716577;4.67060486772441;36.1762405293839;0.762587152614022
"CC017";1;3;1;-42.7225;-70.60388889;572;17;1.35;81.65;"Intense";20;5;15;0.1;307;1037.4;0.295932138;9.633333333;16.1;3.2;1;599;1;0.64;42.9;33.09;-28.52;-28.5398;0.15;6.3;0;5.459;0.05;0.34;21.01978425;40.42123562;-9.545988;43.04691332;-10.282383;43.82298774;-11.11047;44.69707552;57.4698;"CC017";207;5887452;6536560;6540162;16913;7980;383;397.608108108108;409.539290284388;4.58852702715789;38.0465876583572;0.771435782658362
"CC018";1;3;2;-42.7225;-70.60388889;572;17;1.35;81.65;"Intense";20;5;15;0.1;307;1037.4;0.295932138;9.633333333;16.1;3.2;0;800;2;0.43;43.7;33.8;-28.13;-28.1498;0.12;6.59;0;5.868;0.08;0.85;15.57084078;42.61710809;-9.545988;43.76375629;-10.282383;44.54036408;-11.11047;45.41505258;57.4698;"CC018";223;19992757;20958035;20968836;60320;7952;530;638.815217391304;663.288454910101;4.96258371594908;65.2553940649806;0.791117649966721
"CC019";1;3;4;-42.7225;-70.60388889;572;17;1.35;81.65;"Intense";20;5;15;0.1;307;1037.4;0.295932138;9.633333333;16.1;3.2;0;420;19;0.38;43.75;33.65;-26.77;-26.7898;0.11;6.55;0;5.498;0.05;0.39;9.679784253;50.26074022;-9.545988;43.61231059;-10.282383;44.3888057;-11.11047;45.26336728;57.4698;"CC019";214;12150108;12690040;12697830;36866;7934;486;571.898734177215;583.039732827929;4.83350931535308;54.2429111840688;0.781336293231165
"CC020";1;3;5;-42.7225;-70.60388889;572;17;1.35;81.65;"Intense";20;5;15;0.1;307;1037.4;0.295932138;9.633333333;16.1;3.2;0;900;12;0.45;39.63;32.37;-26.48;-26.4998;0.09;6.66;0;5.506;0.06;0.4;11.58188867;51.88786984;-9.545988;42.31997396;-10.282383;43.09550751;-11.11047;43.9689861;57.4698;"CC020";233;12630102;13535459;13542720;38521;7986;409;486.34375;489.300093266364;4.44425027372236;35.8237286536148;0.739019085274867
"CC021";1;3;6;-42.7225;-70.60388889;572;17;1.35;81.65;"Intense";20;5;15;0.1;307;1037.4;0.295932138;9.633333333;16.1;3.2;1;690;1;0.63;39.9;28.08;-29.62;-29.6398;0.2;6.5;0.17;5.521;0.05;0.42;0;34.21823897;-9.545988;37.98862698;-10.282383;38.76093781;-11.11047;39.63078667;57.4698;"CC021";211;5352335;6247862;6248114;16531;7977;403;453.521739130435;466.912740961782;4.47075302758435;32.8983402586163;0.745257593811522
"CC022";1;3;7;-42.7225;-70.60388889;572;17;1.35;81.65;"Intense";20;5;15;0.1;307;1037.4;0.295932138;9.633333333;16.1;3.2;1;300;2;0.97;36.5;27.69;-28.56;-28.5798;0.24;6.3;0;5.537;0.05;0.44;31.35573366;40.19591824;-9.545988;37.59486816;-10.282383;38.36688602;-11.11047;39.2364049;57.4698;"CC022";230;13092764;13909170;13912744;40974;7985;402;504.615384615385;513.184531903624;4.32222586948335;30.0855543135294;0.720797199011516
"CC023";1;3;8;-42.7225;-70.60388889;572;17;1.35;81.65;"Intense";20;5;15;0.1;307;1037.4;0.295932138;9.633333333;16.1;3.2;0;900;8;0.6;41.25;31.19;-27.9;-27.9198;0.12;6.44;0;5.436;0.05;0.31;13.14084078;43.91128385;-9.545988;41.12860113;-10.282383;41.90324825;-11.11047;42.77572845;57.4698;"CC023";211;4968728;5385127;5387924;15116;7988;418;441.6;451.587457684816;4.62576138331759;38.9296232483905;0.766427903893417
"CC025";1;6;1;-42.79805556;-70.93166667;748;19.88;11.49;68.62;"Intense";50;20;30;2;369;997.5;0.369924812;8.508333333;14.85;2.208333333;0;200;10;0.48;43.15;30.76;-26.73;-26.9434;0.12;6.03;0;8.297;0.08;0.84;0;49.50939119;-9.545988;40.6944568;-10.282383;41.46878089;-11.11047;42.34089727;58.14215;"CC025";203;5779913;6943712;6944034;17284;7984;521;585.2;599.230725895108;5.03467673171251;68.5935452768954;0.804807848476853
"CC026";1;6;2;-42.79805556;-70.93166667;748;19.88;11.49;68.62;"Intense";50;20;30;2;369;997.5;0.369924812;8.508333333;14.85;2.208333333;0;660;19;0.63;40.33;31.65;-27.74;-27.9534;0.15;6.13;0;8.332;0.08;0.88;32.49136365;43.83312133;-9.545988;41.59303461;-10.282383;42.36802728;-11.11047;43.24089669;58.14215;"CC026";223;17511465;18846500;18849678;54005;7976;585;735.51;753.541811518568;5.03378539886741;70.2338708430947;0.790033278793392
